title,placeId,categoryName,categories/0,address,city,neighborhood,street,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,reviewsDistribution/oneStar,phone,website,permanentlyClosed,temporarilyClosed,wasOpenAtScrapeTime,isAdvertisement,searchString,rank,scrapedAt,imagesCount,url,is_rated,open_status,city_clean
مطعم بابا عبدة,ChIJS_eEWQBXWBQReOVNWKzB1X8,Restaurant,Restaurant,"XWRF+7C5, First 6th of October, Giza Governorate 3230430, Egypt",First 6th of October,Not provided,XWRF+7C5,3230430,29.9905712,30.9228645,5.0,2,2,0,0,0,0,Not provided,Not provided,False,False,,False,مطعم,1,2026-09-23T10:03:01.336Z,0,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A8%D8%A7%D8%A8%D8%A7%20%D8%B9%D8%A8%D8%AF%D8%A9&query_place_id=ChIJS_eEWQBXWBQReOVNWKzB1X8,True,Unknown,6th of October City
Awafi Cafe & Restaurant,ChIJUbL69DVXWBQRBwEYo4vCFvQ,Restaurant,Restaurant,"Jamal Abdulnasser Street, First 6th of October, Giza Governorate 12552, Egypt",First 6th of October,Not provided,Jamal Abdulnasser Street,12552,29.9902128,30.9432829,4.7,258,215,18,14,5,6,+20 10 62683733,https://shorturl.at/nsI2X,False,False,True,False,مطعم,2,2026-09-23T10:03:01.337Z,301,https://www.google.com/maps/search/?api=1&query=Awafi%20Cafe%20%26%20Restaurant&query_place_id=ChIJUbL69DVXWBQRBwEYo4vCFvQ,True,Open,6th of October City
ON-Q,ChIJb1P8bQBXWBQRqhkvkB1G0sE,Restaurant,Restaurant,"Amaken plaza mall، التوسعات الشماليه, First 6th of October, Giza Governorate 3231026, Egypt",First 6th of October,Not provided,Amaken plaza mall، التوسعات الشماليه,,29.9829862,30.9212955,4.9,36,34,1,0,0,1,Not provided,Not provided,False,False,True,False,مطعم,3,2026-09-23T10:03:01.337Z,32,https://www.google.com/maps/search/?api=1&query=ON-Q&query_place_id=ChIJb1P8bQBXWBQRqhkvkB1G0sE,True,Open,6th of October City
Medan El Sham Resturant,ChIJmS24VP9WWBQRolWmBg_Ra4M,Syrian restaurant,Syrian restaurant,"XWJR+2Q8, Mecca El-Mokarrama, First 6th of October, Giza Governorate 3231423, Egypt",First 6th of October,First 6th of October,"XWJR+2Q8, Mecca El-Mokarrama",,29.9800467,30.9419454,4.1,2154,1111,498,292,88,165,+20 10 64533558,Not provided,False,False,True,False,مطعم,4,2026-09-23T10:03:01.338Z,225,https://www.google.com/maps/search/?api=1&query=Medan%20El%20Sham%20Resturant&query_place_id=ChIJmS24VP9WWBQRolWmBg_Ra4M,True,Open,6th of October City
مطعم ابو مروان المصري,ChIJPYjrifZXWBQRg_BRlf8AfH8,Restaurant,Restaurant,"XWMG+84V، جمال عبدالناصر الى الريهام, الجيزة, First 6th of October, Giza Governorate 3231050, Egypt",First 6th of October,الجيزة,XWMG+84V، جمال عبدالناصر الى الريهام,3231050,29.983372,30.9252955,4.5,13,10,0,2,1,0,+20 10 32006711,Not provided,False,False,False,False,مطعم,5,2026-09-23T10:03:01.338Z,3,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D8%A8%D9%88%20%D9%85%D8%B1%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A&query_place_id=ChIJPYjrifZXWBQRg_BRlf8AfH8,True,Closed,6th of October City
مطاعم الشبراوي الاتحاد التعاوني,ChIJt80h80VXWBQRpWz4T4O-5l8,Takeout Restaurant,Takeout Restaurant,"الاتحاد التعاوني, 6th of October City (2), Giza Governorate 3224231, Egypt",6th of October City (2),Not provided,الاتحاد التعاوني,,29.9755045,30.9011807,4.7,11,10,0,0,1,0,+20 11 10601062,Not provided,False,False,True,False,مطعم,6,2026-09-23T10:03:01.338Z,15,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%A7%D8%B9%D9%85%20%D8%A7%D9%84%D8%B4%D8%A8%D8%B1%D8%A7%D9%88%D9%8A%20%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF%20%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86%D9%8A&query_place_id=ChIJt80h80VXWBQRpWz4T4O-5l8,True,Open,6th of October City
مطعم ليالي الشام,ChIJd2vbbQBXWBQRBtgLEHrk8Xg,Restaurant,Restaurant,"XWJJ+J2V, First 6th of October, Giza Governorate 3231065, Egypt",First 6th of October,Not provided,XWJJ+J2V,,29.9816153,30.9300374,4.0,14,9,2,0,0,3,Not provided,Not provided,False,False,True,False,مطعم,7,2026-09-23T10:03:01.338Z,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%84%D9%8A%D8%A7%D9%84%D9%8A%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85&query_place_id=ChIJd2vbbQBXWBQRBtgLEHrk8Xg,True,Open,6th of October City
مندي الخليج مطعم وكافيه - Mandi Al Khaleej,ChIJN5brhA5XWBQR_1KLxLUTMio,Arab restaurant,Arab restaurant,"المجاوره الثانية امام, آل يحيى، Halab, First 6th of October, Giza Governorate 12566, Egypt",First 6th of October,First 6th of October,"المجاوره الثانية امام, آل يحيى، Halab",12566,29.9659223,30.9415089,4.9,14,13,0,1,0,0,+20 10 90261901,https://www.tiktok.com/@mandialkhaleej,False,False,,False,مطعم,8,2026-09-23T10:03:01.338Z,6,https://www.google.com/maps/search/?api=1&query=%D9%85%D9%86%D8%AF%D9%8A%20%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%20%D9%85%D8%B7%D8%B9%D9%85%20%D9%88%D9%83%D8%A7%D9%81%D9%8A%D9%87%20-%20Mandi%20Al%20Khaleej&query_place_id=ChIJN5brhA5XWBQR_1KLxLUTMio,True,Unknown,6th of October City
مطعم الكبير قوي,ChIJZaD2grpXWBQRZ619NEm7iUY,Restaurant,Restaurant,"XWMG+886 مول فستيفال ستي, Gamal Abd Al Nassir Axis, First 6th of October, Giza Governorate 3231050, Egypt",First 6th of October,Not provided,"XWMG+886 مول فستيفال ستي, Gamal Abd Al Nassir Axis",,29.9832898,30.9257553,4.4,16,13,0,1,1,1,Not provided,Not provided,False,False,True,False,مطعم,9,2026-09-23T10:03:01.338Z,8,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1%20%D9%82%D9%88%D9%8A&query_place_id=ChIJZaD2grpXWBQRZ619NEm7iUY,True,Open,6th of October City
prato restaurant,ChIJ3yhhCwBXWBQRAJRr3agmQjo,Fast food restaurant,Fast food restaurant,"XWJJ+M46, First 6th of October, Giza Governorate 3231065, Egypt",First 6th of October,Not provided,XWJJ+M46,,29.9816722,30.9302785,4.8,22,20,0,2,0,0,Not provided,Not provided,False,False,,False,مطعم,10,2026-09-23T10:03:01.339Z,25,https://www.google.com/maps/search/?api=1&query=prato%20restaurant&query_place_id=ChIJ3yhhCwBXWBQRAJRr3agmQjo,True,Unknown,6th of October City
